ID_CLIENT|NOM_CLIENT|PREN_CLIENT|CD_POSTAL_CLIENT|VILLE_CLIENT|PAYS_CLIENT|REGION_CLIENT|CD_TYPE_CLIENT
AB-100151402|Aaron|Cynthicia|76017|Arlington|États-Unis|Centre des États-Unis|T001
JR-162107|Justin|Ennis||Caloundra|Australie|Océanie|T002
CR-127307|Craig|Ouatig||Brisbane|Australie|Océanie|T001
KM-1637548|Katherine|Benjamn||Mainz|Allemagne|Europe de l'Ouest|T003
RH-9495111|Rick|Iskandr||Dakar|Sénégal|Afrique de l'Ouest|T001
JM-156557|Jim|Saintilan||Echuca|Australie|Océanie|T002
TS-2134092|Toby|Ornelia||Napier|Nouvelle-Zélande|Océanie|T001
MB-1808592|Mick|Jianping||Hamilton|Nouvelle-Zélande|Océanie|T001
AB-100151404|Aaron|Lemnaouar|98103|Seattle|États-Unis|Ouest des États-Unis|T001
AJ-107801|Anthony|Tanerii||Kaboul|Afghanistan|Asie du Sud|T002
MM-7260110|Magdelene|Rhomy||Jizan|Arabie saoudite|Asie de l'Ouest|T001
VF-2171518|Vicky|Kahaer||Toledo|Brésil|Amérique du Sud|T003
PF-1912027|Peter|Lunie||Guangzhou|Chine|Asie de l'Est|T001
BP-1118545|Ben|Elanfan||Bourges|France|Europe de l'Ouest|T002
PJ-1883564|Patrick|Kabwita||Florence|Italie|Europe du Sud|T002
JS-156857|Jim|Elmaise||Wollongong|Australie|Océanie|T002
RH-9555129|Ritsa|Petinga||Uvinza|Tanzanie|Afrique de l'Est|T001
AB-600103|Ann|Orencine||Bytom|Pologne|Europe de l'Est|T002
JK-1532527|Jason|Ebene||Shenzhen|Chine|Asie de l'Est|T002
LB-16795139|Laurel|Liangbang||Swindon|Royaume-Uni|Europe du Nord|T003
NP-1832582|Naresj|Rakan||Juárez|Mexique|Amérique centrale|T001
VD-2167039|Valerie|Fidele||Soyapango|El Salvador|Amérique centrale|T001
PB-19210127|Phillip|Abderramm||Taipei|Taïwan|Asie de l'Est|T002
EB-1411048|Eugene|Frankowiak||Dortmund|Allemagne|Europe de l'Ouest|T001
AH-100301406|Aaron|Disch|19134|Philadelphia|États-Unis|Est des États-Unis|T002
BP-1123058|Benjamin|Povi||Surat|Inde|Asie du Sud|T001
RR-1952536|Rick|Afoudini||Saint-Domingue|République dominicaine|Caraïbes|T002
BS-1136545|Bill|Bonsant||Saint-Brieuc|France|Europe de l'Ouest|T002
AH-100301404|Aaron|Eljaz|94109|San Francisco|États-Unis|Ouest des États-Unis|T002
DP-131057|Dave|Ja||Wagga Wagga|Australie|Océanie|T002
AH-1003033|Aaron|Bulo||Kamina|Congo (République démocratique du)|Afrique centrale|T002
PO-18865139|Patrick|Keibe||Stockton-on-Tees|Royaume-Uni|Europe du Nord|T001
DL-128657|Dan|Noizet||Kwinana|Australie|Océanie|T001
JB-1600059|Joy|Silhol||Bogor|Indonésie|Asie du Sud-Est|T001
BF-1100558|Barry|Feisa||Chandigarh|Inde|Asie du Sud|T003
VG-2180558|Vivek|Maeyannick||Surat|Inde|Asie du Sud|T002
GT-14710139|Greg|Merryl||London|Royaume-Uni|Europe du Nord|T001
ZC-2191048|Zuschuss|Valois||Dresden|Allemagne|Europe de l'Ouest|T001
AH-100301408|Aaron|Hiacinthe|39503|Gulfport|États-Unis|Sud des États-Unis|T002
EB-1384045|Ellis|Muthalip||Toulouse|France|Europe de l'Ouest|T002
AP-1091527|Arthur|Stew||Nanchong|Chine|Asie de l'Est|T001
SW-2027558|Scott|Johad||Barddhaman|Inde|Asie du Sud|T001
JH-15820141|John|Vicenty||Paysandœ|Uruguay|Amérique du Sud|T001
TG-1164060|Trudy|Fadre||Behshahr|Iran|Asie du Sud|T001
DG-330087|Deirdre|Nacime||Maputo|Mozambique|Afrique de l'Est|T002
SG-2047058|Sheri|Chatard||Coimbatore|Inde|Asie du Sud|T001
GP-1474058|Guy|Farelle||Varanasi|Inde|Asie du Sud|T002
MW-182207|Mitch|Dixon||Mandurah|Australie|Océanie|T001
CS-1246011|Chuck|Daniaz||Dacca|Bangladesh|Asie du Sud|T001
MS-1798048|Michael|Elfatmi||Munster|Allemagne|Europe de l'Ouest|T002
KC-1667548|Kimberly|Trarek||Celle|Allemagne|Europe de l'Ouest|T002
DB-1340527|Denny|Beclin||Wuxi|Chine|Asie de l'Est|T001
AS-100451408|Aaron|Letyzia|22204|Arlington|États-Unis|Sud des États-Unis|T002
DK-13090120|Dave|Emmelie||Seville|Espagne|Europe du Sud|T001
CS-1184558|Cari|Noriah||Raipur|Inde|Asie du Sud|T002
EM-1420082|Evan|Marzenna||San Andrés Tuxtla|Mexique|Amérique centrale|T003
DW-3480137|Dianna|Buleyhan||Ternopil|Ukraine|Europe de l'Est|T003
AS-1022527|Alan|Aboobakur||Xianyang|Chine|Asie de l'Est|T002
ST-2053093|Shui|Jocyl||Chinandega|Nicaragua|Amérique centrale|T001
BW-106533|Barry|Brigittececile||Kalemie|Congo (République démocratique du)|Afrique centrale|T001
LA-1678059|Laura|Violando||Palembang|Indonésie|Asie du Sud-Est|T002
AB-10150139|Aimee|Mathilda||Eastbourne|Royaume-Uni|Europe du Nord|T001
JH-158207|John|Souiga||Gold Coast|Australie|Océanie|T001
AS-100451402|Aaron|Salvo|78745|Austin|États-Unis|Centre des États-Unis|T002
BE-1141048|Bobby|Loubet||Wiesbaden|Allemagne|Europe de l'Ouest|T001
SZ-2003527|Sam|Nollary||Nanchong|Chine|Asie de l'Est|T003
RM-1937558|Raymond|Charel||Durgapur|Inde|Asie du Sud|T001
HG-1484545|Harry|Cerdet||Le Havre|France|Europe de l'Ouest|T001
DP-310586|Dave|Maubourguet||Meknes|Maroc|Afrique du Nord|T002
AS-100451404|Aaron|Josuee|91104|Pasadena|États-Unis|Ouest des États-Unis|T002
JB-1600048|Joy|Pasquin||Bielefeld|Allemagne|Europe de l'Ouest|T001
AM-1070559|Anne|Gallianne||Medan|Indonésie|Asie du Sud-Est|T001
AB-25586|Alejandro|Villot||Sale|Maroc|Afrique du Nord|T003
RP-192707|Rachel|Jaci||Adelaide|Australie|Océanie|T002
BK-1126011|Berenike|Santoro||Tongi|Bangladesh|Asie du Sud|T001
JM-1525027|Janet|An||Wuhan|Chine|Asie de l'Est|T001
NZ-1856545|Nick|Leste||Tulle|France|Europe de l'Ouest|T003
SC-20695102|Steve|Carlson||Manila|Philippines|Asie du Sud-Est|T002
NC-186257|Noah|Ihantamalala||Brisbane|Australie|Océanie|T002
NF-183858|Natalie|Hannifa||Innsbruck|Autriche|Europe de l'Ouest|T001
NZ-185657|Nick|Arezski||Wodonga|Australie|Océanie|T003
PM-1894045|Paul|Mayky||Versailles|France|Europe de l'Ouest|T001
MZ-1733545|Maria|Pursow||Mons-en-Baroeul|France|Europe de l'Ouest|T003
HM-498033|Henry|Sourandone||Kindu|Congo (République démocratique du)|Afrique centrale|T001
RW-195407|Rick|Petonila||Bendigo|Australie|Océanie|T002
LH-1715545|Logan|Hido||Le Bouscat|France|Europe de l'Ouest|T001
FH-1436582|Fred|Adhelard||Mexicali|Mexique|Amérique centrale|T002
KM-1666048|Khloe|Touboul||Neu-Ulm|Allemagne|Europe de l'Ouest|T001
PO-1886545|Patrick|Bourac||Osny|France|Europe de l'Ouest|T001
AS-100451406|Aaron|Dimier|10035|New York City|États-Unis|Est des États-Unis|T002
AB-1006028|Adam|Filomeno||Ciénaga|Colombie|Amérique du Sud|T003
DB-130607|Dave|Koene||Sydney|Australie|Océanie|T001
VM-2168591|Valerie|Diahe||Amsterdam|Pays-Bas|Europe de l'Ouest|T003
DM-1352548|Don|Evene||Hanover|Allemagne|Europe de l'Ouest|T002
NM-18520120|Neoma|Wawrzyniec||Vigo|Espagne|Europe du Sud|T001
LC-168857|Lena|Seonkyeong||Darwin|Australie|Océanie|T001
RO-1978027|Rose|Ouro||Gaoyou|Chine|Asie de l'Est|T001
